 x1.net9         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(V_i_in)       i(vmeas_i_out_ladder) i(vmeas_dump)   i(vmeas_i_out) 
 5.91463334e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26442706e-06  2.22197950e-06  2.06349566e-06  2.79172146e-06 
 5.91338827e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26442482e-06  2.22681388e-06  2.05865623e-06  2.79626158e-06 
 5.91682463e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26442829e-06  2.21344545e-06  2.07203529e-06  2.78370668e-06 
 5.91064812e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26441969e-06  2.23742066e-06  2.04803793e-06  2.80622243e-06 
 5.91678341e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26442682e-06  2.21360478e-06  2.07187439e-06  2.78385629e-06 
 5.91370122e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26442197e-06  2.22559625e-06  2.05987176e-06  2.79511810e-06 
 5.91486184e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26442270e-06  2.22108640e-06  2.06438481e-06  2.79088272e-06 
 5.90389264e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26440659e-06  2.26337701e-06  2.02204927e-06  2.83059615e-06 
 5.91387998e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26441972e-06  2.22489983e-06  2.06056634e-06  2.79446404e-06 
 5.91157659e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26441554e-06  2.23382588e-06  2.05163083e-06  2.80284660e-06 
 5.91397887e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26441835e-06  2.22451437e-06  2.06095066e-06  2.79410206e-06 
 5.90556541e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26440442e-06  2.25696981e-06  2.02845946e-06  2.82457983e-06 
 5.91191244e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26441341e-06  2.23252357e-06  2.05293173e-06  2.80162359e-06 
 5.90622667e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26440326e-06  2.25443209e-06  2.03099799e-06  2.82219688e-06 
 5.90652338e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  4.26440265e-06  2.25329244e-06  2.03213786e-06  2.82112676e-06 
 5.88119256e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.26436058e-06  2.34860791e-06  1.93667673e-06  2.91061163e-06 
 5.90442222e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  4.26439688e-06  2.26134141e-06  2.02407688e-06  2.82868477e-06 
