 net3            v(b0)           net3            v(b1)           net3            v(b2)           net3            v(b3)           net3            v(b4)           net3            v(b5)           net3            v(b6)           net3            i(v_i_in)       net3            i(vi_out)      
 1.92394467e-01  0.00000000e+00  1.92394467e-01  0.00000000e+00  1.92394467e-01  0.00000000e+00  1.92394467e-01  0.00000000e+00  1.92394467e-01  1.80000000e+00  1.92394467e-01  1.80000000e+00  1.92394467e-01  0.00000000e+00  1.92394467e-01  1.00238019e-05  1.92394467e-01  5.39302462e-06 
 1.92389895e-01  1.80000000e+00  1.92389895e-01  0.00000000e+00  1.92389895e-01  0.00000000e+00  1.92389895e-01  0.00000000e+00  1.92389895e-01  1.80000000e+00  1.92389895e-01  1.80000000e+00  1.92389895e-01  0.00000000e+00  1.92389895e-01  1.00238024e-05  1.92389895e-01  5.65862506e-06 
 1.92389250e-01  0.00000000e+00  1.92389250e-01  1.80000000e+00  1.92389250e-01  0.00000000e+00  1.92389250e-01  0.00000000e+00  1.92389250e-01  1.80000000e+00  1.92389250e-01  1.80000000e+00  1.92389250e-01  0.00000000e+00  1.92389250e-01  1.00238027e-05  1.92389250e-01  5.69599484e-06 
 1.92386658e-01  1.80000000e+00  1.92386658e-01  1.80000000e+00  1.92386658e-01  0.00000000e+00  1.92386658e-01  0.00000000e+00  1.92386658e-01  1.80000000e+00  1.92386658e-01  1.80000000e+00  1.92386658e-01  0.00000000e+00  1.92386658e-01  1.00238031e-05  1.92386658e-01  5.84598796e-06 
 1.92387954e-01  0.00000000e+00  1.92387954e-01  0.00000000e+00  1.92387954e-01  1.80000000e+00  1.92387954e-01  0.00000000e+00  1.92387954e-01  1.80000000e+00  1.92387954e-01  1.80000000e+00  1.92387954e-01  0.00000000e+00  1.92387954e-01  1.00238036e-05  1.92387954e-01  5.77101144e-06 
 1.92384393e-01  1.80000000e+00  1.92384393e-01  0.00000000e+00  1.92384393e-01  1.80000000e+00  1.92384393e-01  0.00000000e+00  1.92384393e-01  1.80000000e+00  1.92384393e-01  1.80000000e+00  1.92384393e-01  0.00000000e+00  1.92384393e-01  1.00238039e-05  1.92384393e-01  5.97679230e-06 
 1.92384712e-01  0.00000000e+00  1.92384712e-01  1.80000000e+00  1.92384712e-01  1.80000000e+00  1.92384712e-01  0.00000000e+00  1.92384712e-01  1.80000000e+00  1.92384712e-01  1.80000000e+00  1.92384712e-01  0.00000000e+00  1.92384712e-01  1.00238044e-05  1.92384712e-01  5.95841203e-06 
 1.92383094e-01  1.80000000e+00  1.92383094e-01  1.80000000e+00  1.92383094e-01  1.80000000e+00  1.92383094e-01  0.00000000e+00  1.92383094e-01  1.80000000e+00  1.92383094e-01  1.80000000e+00  1.92383094e-01  0.00000000e+00  1.92383094e-01  1.00238048e-05  1.92383094e-01  6.05166967e-06 
 1.92385341e-01  0.00000000e+00  1.92385341e-01  0.00000000e+00  1.92385341e-01  0.00000000e+00  1.92385341e-01  1.80000000e+00  1.92385341e-01  1.80000000e+00  1.92385341e-01  1.80000000e+00  1.92385341e-01  0.00000000e+00  1.92385341e-01  1.00238053e-05  1.92385341e-01  5.92209432e-06 
 1.92381298e-01  1.80000000e+00  1.92381298e-01  0.00000000e+00  1.92381298e-01  0.00000000e+00  1.92381298e-01  1.80000000e+00  1.92381298e-01  1.80000000e+00  1.92381298e-01  1.80000000e+00  1.92381298e-01  0.00000000e+00  1.92381298e-01  1.00238056e-05  1.92381298e-01  6.15508270e-06 
 1.92381131e-01  0.00000000e+00  1.92381131e-01  1.80000000e+00  1.92381131e-01  0.00000000e+00  1.92381131e-01  1.80000000e+00  1.92381131e-01  1.80000000e+00  1.92381131e-01  1.80000000e+00  1.92381131e-01  0.00000000e+00  1.92381131e-01  1.00238060e-05  1.92381131e-01  6.16468699e-06 
 1.92379036e-01  1.80000000e+00  1.92379036e-01  1.80000000e+00  1.92379036e-01  0.00000000e+00  1.92379036e-01  1.80000000e+00  1.92379036e-01  1.80000000e+00  1.92379036e-01  1.80000000e+00  1.92379036e-01  0.00000000e+00  1.92379036e-01  1.00238064e-05  1.92379036e-01  6.28508445e-06 
 1.92380793e-01  0.00000000e+00  1.92380793e-01  0.00000000e+00  1.92380793e-01  1.80000000e+00  1.92380793e-01  1.80000000e+00  1.92380793e-01  1.80000000e+00  1.92380793e-01  1.80000000e+00  1.92380793e-01  0.00000000e+00  1.92380793e-01  1.00238068e-05  1.92380793e-01  6.18410153e-06 
 1.92377730e-01  1.80000000e+00  1.92377730e-01  0.00000000e+00  1.92377730e-01  1.80000000e+00  1.92377730e-01  1.80000000e+00  1.92377730e-01  1.80000000e+00  1.92377730e-01  1.80000000e+00  1.92377730e-01  0.00000000e+00  1.92377730e-01  1.00238072e-05  1.92377730e-01  6.35998059e-06 
 1.92378520e-01  0.00000000e+00  1.92378520e-01  1.80000000e+00  1.92378520e-01  1.80000000e+00  1.92378520e-01  1.80000000e+00  1.92378520e-01  1.80000000e+00  1.92378520e-01  1.80000000e+00  1.92378520e-01  0.00000000e+00  1.92378520e-01  1.00238077e-05  1.92378520e-01  6.31468254e-06 
 1.92377383e-01  1.80000000e+00  1.92377383e-01  1.80000000e+00  1.92377383e-01  1.80000000e+00  1.92377383e-01  1.80000000e+00  1.92377383e-01  1.80000000e+00  1.92377383e-01  1.80000000e+00  1.92377383e-01  0.00000000e+00  1.92377383e-01  1.00238079e-05  1.92377383e-01  6.37981975e-06 
