 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.67682855e-01  1.00586831e-05  2.67682855e-01  8.46272291e-06  2.67682855e-01  2.83136487e-01 
 2.67680976e-01  1.00586829e-05  2.67680976e-01  8.51543569e-06  2.67680976e-01  2.83142141e-01 
 2.67674975e-01  1.00586825e-05  2.67674975e-01  8.68140728e-06  2.67674975e-01  2.83150066e-01 
 2.67675659e-01  1.00586824e-05  2.67675659e-01  8.66265852e-06  2.67675659e-01  2.83154359e-01 
 2.67672184e-01  1.00586820e-05  2.67672184e-01  8.75739726e-06  2.67672184e-01  2.83161100e-01 
 2.67670795e-01  1.00586817e-05  2.67670795e-01  8.79496341e-06  2.67670795e-01  2.83166658e-01 
 2.67665096e-01  1.00586815e-05  2.67665096e-01  8.94707487e-06  2.67665096e-01  2.83174838e-01 
 2.67664794e-01  1.00586811e-05  2.67664794e-01  8.95504453e-06  2.67664794e-01  2.83179841e-01 
 2.67660061e-01  1.00586807e-05  2.67660061e-01  9.07885048e-06  2.67660061e-01  2.83187598e-01 
 2.67657523e-01  1.00586806e-05  2.67657523e-01  9.14438670e-06  2.67657523e-01  2.83194066e-01 
